, ,RandomForestRegressor(),ExtraTreesRegressor(),BaggingRegressor(),GradientBoostingRegressor(),AdaBoostRegressor(),GaussianProcessRegressor(),ARDRegression(),HuberRegressor(),LinearRegression(),PassiveAggressiveRegressor(),SGDRegressor(),TheilSenRegressor(max_subpopulation=10000),KNeighborsRegressor(),RadiusNeighborsRegressor(),MLPRegressor(),DecisionTreeRegressor(),ExtraTreeRegressor(),SVR(),BayesianRidge(),CCA(),ElasticNet(),ElasticNetCV(),KernelRidge(),Lars(),LarsCV(),Lasso(),LassoCV(),LassoLars(),LassoLarsIC(),NuSVR(),OrthogonalMatchingPursuit(),OrthogonalMatchingPursuitCV(),PLSCanonical(),Ridge(),RidgeCV(),LinearSVR()
0,BaggingClassifier(),0.5914160264983077,0.6380917264248589,0.6372741459134491,0.45931716874828277,0.7532768781899536,94.21527688762806,1.3502830693103594,6.1939543612683865,1.008503176559291,13.642007918021823,4.924694256473108e+16,6.451740611789581,0.9319178986051704,7.215813355254752e+16,76.60926674987962,0.6568958822198466,0.7052540229250549,1.8663104195247213,1.1133289829829522,1.03585646,1.0212630100251243,1.2269294589138888,7.367832081648847,1.2761643618032403,1.2754146734490959,1.021398555142833,1.2259636984705307,1.6507035232869378,1.2950461902423092,1.865146069038854,1.6619911893140908,1.1203160568236217,2.08698919,1.0083137325390745,1.0082680016762615,11.26845967917306
1,DecisionTreeClassifier(),0.4965847471160822,0.6277334763659271,0.528257179538314,0.40937282679064474,0.7064901592293856,94.21716731592356,1.2691879701641045,6.3438053133942525,0.9970345425295014,11.04182276081163,4.494573351520403e+16,6.583090126978252,0.9096879106462731,7.215813355254752e+16,71.74150194777499,0.7040210518768745,0.6083195530814572,1.7934919699214076,1.1055686601143515,0.99326685,1.0118545586417875,1.2202341199453137,7.416752267908372,1.2646957277734465,1.2644967399335527,1.0120355029041224,1.219272467500878,1.570601514519176,1.2787583989314677,1.7904915723176038,1.5683144354758722,1.1079573264997808,2.02519857,0.9969261906282934,0.9968602334845339,8.363431577243198
2,DummyClassifier(),7.5021020588573775,7.255739002587553,8.300160174576707,6.9962708696211395,6.803062929988974,96.66282678065951,6.799111770622647,17.349008413388297,8329113484440.197,28.416585668639563,5.2347071267811144e+16,17.31268802529572,7.374878616425389,7.215813355254752e+16,81.88236447630182,6.82565217964408,6.4309100801496575,6.918758090654601,6.787104454228208,7.27489581,6.261800843504878,7.116511924409298,16.48405115093836,5.560573634769713,5.561523373199716,6.245502562272599,7.1117601241413615,6.390805330252722,5.582248677287142,7.1496519346647975,7.1884961739240705,6.065710490803018,6.88250852,6.687219164563914,6.687143802763009,19.34907765735508
3,ExtraTreeClassifier(),2.4082679320518285,2.406439220038549,2.4393366125514846,2.3437683742897932,2.491665323638829,94.47147247992113,2.890313355049405,9.058156516762962,2.673604534380018,12.539508107639136,6.119295867137027e+16,11.673925891181364,2.526162928923943,7.215813355254752e+16,59.903633065121426,2.462918088581236,2.4886106161407024,3.1938137150989734,2.6621653158022776,2.87530407,2.6657139357687663,2.646669258225005,10.002552957478526,2.651828719449625,2.655882155994116,2.6652745580729773,2.64676126313245,2.9879762007265196,2.6666408766385272,3.227671127727413,3.3709501017197647,2.68594171128254,3.08884295,2.674524158945142,2.6747073567975894,11.742528293329771
4,ExtraTreesClassifier(),0.9019567852138421,1.0859801112499106,0.7523598894141942,0.6873453914654614,1.3632193090683868,94.29895410720447,1.8054062862202607,4.185611025132763,1.507171406688755,10.87731593951818,5.619169086847907e+16,6.903023517994685,1.2062797723868135,7.215813355254752e+16,78.81364244431707,0.9494270136324842,1.4410607556066881,2.005989295559096,1.6153578162642417,1.61644351,1.5148850397474531,1.7295760930694337,6.741066926184025,1.689896609985752,1.6897341369391186,1.515688245391072,1.7285395910422703,1.9743947934195714,1.6980217089946008,2.014654841902365,2.198286660958328,1.623818976971844,2.98397559,1.505699611939028,1.505698838333622,9.36343100531897
5,GradientBoostingClassifier(),0.6052543970936035,0.620305056844471,0.6821640649572931,0.4951733533586448,0.7322393225567879,94.13564405979619,1.3009371108688719,6.386955701060093,0.9817812811006965,24.452254986593182,4.6130894691199336e+16,6.420351880540807,0.9184470513272853,7.215813355254752e+16,55.43340268388849,0.7334394377713692,0.7905917049685027,1.8318443446557238,1.087386568439679,1.00086549,0.9930976673103811,1.202522355451771,7.528787154727692,1.2494424663446464,1.249173612511774,0.9933512617745172,1.201557653366205,1.6037132427617178,1.2668974728264162,1.8214677183364913,1.618284663270025,1.094089976238665,2.02106024,0.981560510017052,0.9815319695562204,20.03275824667634
6,HistGradientBoostingClassifier(),1.2597955674935706,1.4108006038069272,1.3069935248929723,1.3221330792564194,1.3822825718063723,94.21249405358758,1.936417286751428,8.629689725492812,1235746643454.4414,16.118321699233285,5.0628933102761736e+16,8.772905153274396,1.4707997331149245,7.215813355254752e+16,97.61084013189196,1.676716785252595,1.3167195871411796,2.037140501038685,1.9824433208209207,1.71200043,1.5977885663088283,2.1075957820814524,9.780107022571299,1.8040972434250746,1.804667745554286,1.6211433367781076,2.1067056799504496,2.1170057419848467,1.8107987641111536,2.067243098956727,2.1575297317524793,1.692021928206247,2.37156224,1.9088133270377672,1.90878614017873,11.989014958735272
7,KNeighborsClassifier(),1.2048877388717605,1.336942543548622,1.2912980178959637,1.1368331996814112,1.4269666656322981,92.72095952671575,1.9675106940907592,6.665685161657398,1.707537459680209,14.152650633500263,4.26016455170287e+16,9.74931816654532,1.440466588271415,7.215813355254752e+16,20.656783545104417,1.3538130104259423,1.3762429944591172,2.18362555078149,1.768914981175505,1.59997635,1.6925990258184507,1.892548034830297,8.49785988421326,1.9245998285817192,1.9252144956760129,1.6928585292012965,1.8915593171039744,2.180724784461396,1.924864734472853,2.163652111905456,2.3375973549787905,1.7956328310796903,2.19275055,1.7076751021530396,1.707932749982303,17.827464670685828
8,LabelPropagation(),11.42055451866494,13.59870686388818,12.113922060974556,10.75606554230412,10.006247265821308,91.94337329582504,11.4797534209628,18.718688331797306,25588400759538.39,19.441437511425832,6.494067153675545e+16,18.643103809832944,11.45449278817162,7.215813355254752e+16,149.1858630713043,11.255579339503441,11.334746513181434,11.449356254795056,14.423096812714231,16.55301538,11.81719432816252,14.364011315897008,19.817596047397053,9.222907407860943,9.227282928939855,11.979469422363493,14.36387731353594,8.91543387030947,9.082744594233812,12.210317070643226,13.209486832955788,11.57920315597456,15.18118334,14.666963518978806,14.667199499123935,20.662084555666926
9,LabelSpreading(),11.65386311274353,12.452719039455886,12.330257998692531,10.827674942933726,10.18074073278592,91.94337329582504,11.4797534209628,18.718688331797306,25588400759538.39,20.104909110053864,8.859103521496091e+16,18.632923336363966,11.45449278817162,7.215813355254752e+16,58.62426296676231,10.748384492698001,17.410491424728438,11.449356254795056,14.423096812714231,16.55301538,11.81719432816252,14.364011315897008,19.817596047397053,9.222907407860943,9.227282928939855,11.979469422363493,14.36387731353594,8.91543387030947,9.082744594233812,12.210317070643226,13.209486832955788,11.57920315597456,15.18118334,14.666963518978806,14.667199499123935,24.660631581836395
10,MLPClassifier(),1.3852086387147389,1.4786277054389665,1.339438767758408,1.3372225856208317,1.5212058690361252,93.34526617730157,2.008471744785083,7.890592008485542,1.837810630234744,11.026803708659504,4.7508955633441256e+16,9.702296148392831,1.6239607029314136,7.215813355254752e+16,118.86948294991322,1.5433136246584773,1.5843289387999921,2.29684361975836,1.8955252047476288,1.70807102,1.8197159387479922,2.0229869671656235,9.193263405464561,2.0548729991362453,2.0581747609456453,1.82093038610408,2.0220011230848622,2.2220150044002627,2.0472104673957894,2.2723170977340605,2.3960557921314636,1.925408964203979,2.28605917,1.8378791773040368,1.8381831647630642,11.411316225272579
11,MultinomialNB(),5.939150040094385,6.187388679021778,6.176886740558749,5.817188678773425,5.7878689258627825,96.58629550466325,5.923506748669717,13.92335915370471,6214816753716.931,18.079998659261488,8.323018905669528e+16,17.591438053159887,5.8975024700008705,7.215813355254752e+16,176.42227890244166,6.8999446338657195,5.762177365729638,5.770654041072069,7.1372298669722145,6.31413844,5.413444121526927,7.332586431900328,15.453713868652569,5.815134630599786,5.833278704105472,5.531347894507055,7.331974540523913,6.073352446935868,5.849020841354009,5.975439606959264,6.006700736785285,5.737802682650482,6.95530865,7.041452172096775,7.041578301169353,21.555519134432835
12,NearestCentroid(),4.574362895924332,4.484951364837571,4.538625573792723,4.591182726003816,4.818762073176194,98.13401140295774,4.672757230121758,9.930540565312372,1464357287447.736,12.048705898809102,1.4456060088905085e+17,13.198501056429418,4.695997863887789,7.215813355254752e+16,196.8899237591403,4.5762217707073045,5.491995205858737,4.886878123350144,4.896637841694633,4.97395955,4.526096310959077,4.828272752773029,10.21476300557993,4.477072275895933,4.491180295491657,4.551084449254111,4.828950921393666,4.708255250650158,4.503207429235488,4.993466163305778,5.075169236392383,4.588037132357564,4.9720817,4.9183664077517895,4.918435667606325,13.095457111539503
13,RandomForestClassifier(),0.9895554615821759,1.109565214210305,1.0613918521387546,0.9733308763022127,1.1775419984140183,94.04258279894724,1.7663932249261713,6.534778323150323,1.4364958867440707,10.692649263232404,6.985756530132383e+16,9.316996175942235,1.2417398724468878,7.215813355254752e+16,87.10322639182677,1.1346994921048281,1.719987160681444,1.9746845527124761,1.5197909734360737,1.33713005,1.439526532380699,1.6456124197117092,7.8493779028489366,1.6535582556455806,1.6534000469319055,1.4400087058503013,1.6446243991187095,1.9729635722670322,1.6589919255834333,1.9787170570589907,2.0892299786683868,1.5230014449389133,1.97205314,1.4371238094562273,1.4372005867394433,11.063428085163958
