, ,RandomForestRegressor(),ExtraTreesRegressor(),BaggingRegressor(),GradientBoostingRegressor(),AdaBoostRegressor(),GaussianProcessRegressor(),ARDRegression(),HuberRegressor(),LinearRegression(),PassiveAggressiveRegressor(),SGDRegressor(),TheilSenRegressor(max_subpopulation=10000),KNeighborsRegressor(),RadiusNeighborsRegressor(),MLPRegressor(),DecisionTreeRegressor(),ExtraTreeRegressor(),SVR(),BayesianRidge(),CCA(),ElasticNet(),ElasticNetCV(),KernelRidge(),Lars(),LarsCV(),Lasso(),LassoCV(),LassoLars(),LassoLarsIC(),NuSVR(),OrthogonalMatchingPursuit(),OrthogonalMatchingPursuitCV(),PLSCanonical(),Ridge(),RidgeCV(),LinearSVR()
0,BaggingClassifier(),2.887743902490312,2.8216969135925876,2.9828166494528907,2.9275740676969306,3.3590980508935977,98.26063850050161,3.7362384764076735,11.045959651647927,3.637575246662271,19.59764729375589,2.4358097558999107e+18,10.9677784956234,3.577027916516009,7.215813355254752e+16,2488.1648262649696,2.927335374138218,3.249368423740201,4.695631540178224,3.6487625361911165,4.22397089,3.695149480802749,3.7137880354304724,11.945756163924047,3.717205755415945,3.5986143661886314,3.69392856278086,3.7137953750954957,4.970136420769085,3.6328726930239785,3.522625190590296,3.6007397832242334,3.646415911787221,5.08377553,3.6369943031116474,3.638570481839786,16.580467478807133
1,DecisionTreeClassifier(),2.923845120648877,2.8254009738889736,3.0830044764862072,2.928448488529338,3.328031350429398,98.10337222831473,3.9097589851492653,11.256749090774893,3.8601504589425932,15.412042500622684,4.574587053768639e+18,11.266426037438082,3.5734518871432956,7.215813355254752e+16,3225.9679369015475,3.130377780364636,2.9280771966079424,4.720438275455918,3.8689996161392206,4.35919109,3.8416282202150245,3.8631282286007824,11.840768418602288,4.030140508891166,3.7904915093512828,3.8244171775482134,3.8631511640762684,5.144741767777575,3.8142029840935563,3.534885320313414,3.7745526248603696,3.8315056398827547,5.0262656,3.859623054194886,3.8614274232864876,18.014445792180485
2,DummyClassifier(),17.76611449782297,17.966708241900903,18.026070362171165,17.878979614871024,18.409995065670905,102.54069387142745,18.957990590241963,27.53329096251649,20.87056964231962,33.870140136570576,1.388435620054973e+18,25.114522388659342,17.671521737507714,7.215813355254752e+16,3823.8649930953816,17.551625636152604,18.400819177513018,18.97836912961784,20.863560293042763,21.00952677,20.219920553072946,20.08230880979675,30.187632772281717,21.799307414407025,19.990113942210638,20.15315182614262,20.08251524888852,18.06006024130859,20.175235055988153,17.58761764718814,20.602151311216222,20.504132912548652,19.53729366,20.870009603091226,20.869859032055018,64.61469172082874
3,ExtraTreeClassifier(),4.105099702981928,3.979149806963395,4.055954450225091,4.057098288351211,4.307134960038211,96.79006712534778,5.029295420803161,12.827673524291534,4.582902773363535,23.05250730000231,2.4884894286928036e+18,11.96775408164856,4.598377595813773,7.215813355254752e+16,10439.023469343509,4.112172432778241,3.946649326104484,5.977387446825776,4.614511558318042,4.92910519,4.691355479651709,4.777401983135548,13.255052665287801,4.636062585372642,4.650125016377103,4.695127943177192,4.777398452731435,6.600278091789427,4.63768419491958,4.42386849670204,4.599059946968463,4.619354835645533,6.45052564,4.584980457962678,4.584235933803529,22.71519644495231
4,ExtraTreesClassifier(),3.496318769150997,3.3422168093052647,3.479827310453885,3.5527067032315194,3.977018207770436,98.0678283209243,4.384692530408835,11.718148043590222,4.256079298718498,37.326573578228206,1.9407564394287588e+18,11.824218229412736,4.006560812134204,7.215813355254752e+16,3772.5986425490587,3.595567818942629,3.6834976359974814,5.3111746904701524,4.262159714633422,4.7549717,4.258048935470539,4.3030184824841715,12.029887782110944,4.373317991332229,4.1969204207158795,4.2544495827562905,4.303034046764749,5.486421608262528,4.223080164227591,4.1139655177658945,4.20102817564191,4.241278444745332,5.60999664,4.255525583801653,4.257381495702733,21.071756372978744
5,GaussianNB(),13.262467603255729,12.261643531353824,13.68320653582062,12.867910344677478,13.647520732249285,96.39622282888861,14.234981684394278,16.372886636939032,11.532357514250522,18.400697215212357,2.6577806720261094e+18,18.142959565726585,15.92421281864043,7.215813355254752e+16,2014.2146698943536,14.085661087273415,10.651072003809947,16.247763864494683,11.535569318627024,11.95814601,12.181056363197285,12.559898658931909,14.75311333958469,10.410084109167663,12.17215025448647,12.34376553190527,12.559734388810073,15.538459614255371,11.978672567049044,15.997699929012368,11.871231198095511,11.724960213252523,14.00893939,11.530832379926876,11.523509346401717,15.693126787784628
6,GradientBoostingClassifier(),4.153687306676446,4.075442655897695,4.147380298521872,4.202167116707449,4.563771738324775,97.89170371005459,5.043941662693567,12.94773007043819,4.794947929814707,15.190793766854874,3.20154464070188e+18,12.16933075566066,4.807461067518845,7.215813355254752e+16,715.6120833707475,4.118302710421216,4.093300756591995,5.937888884987106,4.774085639476646,5.19331325,4.821101961026117,4.860345824940142,13.413259821746292,4.82853516964916,4.798894942319814,4.819886474602464,4.860344351943027,6.262966578928818,4.781213191592721,4.658783429858613,4.775834064951948,4.80196481407416,6.20562826,4.791723127819879,4.795388886530591,29.64706941259669
7,HistGradientBoostingClassifier(),3.5842013503779637,3.4755055328227895,3.5854420234165265,3.6273440600865343,4.023065432435826,98.19246844125045,4.409604701212048,12.350677520599003,4.455131929885426,16.310005773986152,3.600080396340045e+18,11.69967604417201,4.136286716161058,7.215813355254752e+16,8695.45777266986,3.591370596009438,3.768506349503559,5.301297490394517,4.455208879720573,4.87726391,4.407549606305812,4.402947183411962,13.338336396317828,4.609843725522408,4.3884954449451445,4.391167109016874,4.402968660631065,5.602532058706838,4.397282220022567,4.0994145444812915,4.360750429087651,4.410367087850337,5.56030106,4.453791463297011,4.459547211357924,17.075717319141795
8,KNeighborsClassifier(),6.924451603926117,6.867609056973447,6.918537580422929,6.9150573273044635,7.3099560637720975,97.17467886659978,7.938193460081959,18.047953180132104,7.513890262417281,25.72959610894279,1.6958297133222164e+18,15.17216334956703,7.630069484682963,7.215813355254752e+16,2757.5996185653275,6.8132383338534215,6.8834376870661504,9.003904199510705,7.49694238411072,7.45818918,7.570838517615601,7.620105170208328,16.240693512140087,7.558502421072841,7.533771162566773,7.578612583042386,7.620100198000408,9.93513935114962,7.530254317066846,7.484071153814086,7.481306275573997,7.530591789421908,9.39794387,7.510430247025043,7.5120971237139775,24.790155773867568
9,MultinomialNB(),11.898405111367087,10.57787575145221,11.447439435319529,10.592842822349754,11.778461766112578,101.18428558916766,10.892764658915572,21.30764242508962,10.901763873871577,23.094041007774244,2.2484942011400614e+18,21.713135493035097,14.17897035685042,7.215813355254752e+16,5052.865778157039,11.422440036504904,11.400268291589418,14.832410825335613,10.875675086301765,12.23976486,11.061127945667815,11.131224337976821,22.085758980069464,10.964956012339558,11.185862111185257,11.087117996941078,11.131231292732608,16.528948580683146,11.026775195048208,14.041319155042483,11.044473713568836,10.961420833290862,14.86932201,10.897444975080399,10.896713524246033,39.549206786462975
