,Wm,W0m,dm,tm,rows,Xa,Ya,gain,vswr,bandwidth
0,2142.9,162.86,77.143,214.29,3.0,0.0,2142.9,2.7991746,1.3720397,110.66980000000017
1,2142.9,162.86,77.143,214.29,3.0,3543.5,6964.3,2.8173046000000004,1.6381034,120.7497000000002
2,2142.9,162.86,351.43,214.29,5.0,8365.0,6964.3,2.9414135,1.2427138,123.69010000000058
3,2142.9,162.86,351.43,214.29,3.0,8365.0,2142.9,2.8440777,1.2425867,122.43009999999988
4,2142.9,162.86,351.43,214.29,3.0,8365.0,6964.3,2.8123150000000003,1.271176,124.31979999999989
5,2142.9,162.86,351.43,214.29,3.0,8365.0,11786.0,2.9063831,1.4577924,123.47980000000058
6,2142.9,162.86,351.43,214.29,3.0,8365.0,16607.0,2.9450626,1.7333131000000002,114.8701000000001
7,2142.9,162.86,351.43,214.29,3.0,10776.0,2142.9,2.8390903,1.2430451,122.43009999999988
8,2142.9,162.86,351.43,214.29,3.0,10776.0,6964.3,2.8083363,1.2714631,124.10999999999994
9,2142.9,162.86,351.43,214.29,3.0,10776.0,11786.0,2.9034401,1.458533,123.26980000000054
10,2142.9,162.86,351.43,214.29,3.0,10776.0,16607.0,2.9773779,1.3717776000000002,122.42989999999976
11,2142.9,162.86,351.43,214.29,5.0,0.0,2142.9,1.2266593,7.6572815,
12,2142.9,162.86,77.143,214.29,3.0,3543.5,11786.0,2.9593142999999995,1.4406098,123.48009999999964
13,2142.9,162.86,351.43,214.29,5.0,0.0,6964.3,1.5057931,7.278063499999999,
14,2142.9,162.86,351.43,214.29,5.0,1132.8,2142.9,2.8172958,1.1893938,121.5900999999997
15,2142.9,162.86,351.43,214.29,5.0,1132.8,6964.3,2.9364566,1.3272752,123.48000000000026
16,2142.9,162.86,351.43,214.29,5.0,3543.5,2142.9,2.8312622000000003,1.0685864,122.21999999999954
17,2142.9,162.86,351.43,214.29,5.0,3543.5,6964.3,2.946069,1.2536767,123.69019999999998
18,2142.9,162.86,351.43,214.29,5.0,5954.3,2142.9,2.8253577,1.0610411,122.01019999999964
19,2142.9,162.86,351.43,214.29,5.0,5954.3,6964.3,2.9440047000000003,1.2502148000000002,123.68990000000046
20,2142.9,162.86,351.43,214.29,5.0,8365.0,2142.9,2.8199608,1.0533496,122.00999999999996
21,2142.9,162.86,351.43,214.29,5.0,8365.0,6964.3,2.9414131,1.2427138999999998,123.69010000000058
22,2142.9,162.86,351.43,214.29,5.0,10776.0,2142.9,2.8132994,1.0523037,121.80009999999974
23,2142.9,162.86,77.143,214.29,3.0,3543.5,16607.0,2.4477972,1.9351677,104.36990000000002
24,2142.9,162.86,351.43,214.29,5.0,10776.0,6964.3,2.9365429,1.2421969,123.48010000000008
25,2142.9,162.86,351.43,214.29,7.0,0.0,2142.9,1.4328942,6.9854833,
26,2142.9,162.86,351.43,214.29,7.0,1132.8,2142.9,2.8899379,1.0452724,122.21999999999954
27,2142.9,162.86,351.43,214.29,7.0,3543.5,2142.9,2.8950211,1.1569608,122.8498999999994
28,2142.9,162.86,351.43,214.29,7.0,5954.3,2142.9,2.8881553,1.1657871000000002,122.84989999999983
29,2142.9,162.86,351.43,214.29,7.0,8365.0,2142.9,2.8818121,1.1739754999999998,122.84999999999968
